Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
South Carolina,US,4/1/2020 21:58,34.22333378,-82.46170658,4,0,0,0,"Abbeville, South Carolina, US"
Louisiana,US,4/1/2020 21:58,30.2950649,-92.41419698,47,1,0,0,"Acadia, Louisiana, US"
Virginia,US,4/1/2020 21:58,37.76707161,-75.63234615,7,0,0,0,"Accomack, Virginia, US"
Idaho,US,4/1/2020 21:58,43.4526575,-116.2415516,195,3,0,0,"Ada, Idaho, US"
Iowa,US,4/1/2020 21:58,41.33075609,-94.47105874,1,0,0,0,"Adair, Iowa, US"
Missouri,US,4/1/2020 21:58,40.19058551,-92.60078167,3,0,0,0,"Adair, Missouri, US"
Oklahoma,US,4/1/2020 21:58,35.88494195,-94.65859267,8,0,0,0,"Adair, Oklahoma, US"
Colorado,US,4/1/2020 21:58,39.87432092,-104.3362578,181,2,0,0,"Adams, Colorado, US"
Illinois,US,4/1/2020 21:58,39.98815591,-91.18786813,2,0,0,0,"Adams, Illinois, US"
Indiana,US,4/1/2020 21:58,40.7457653,-84.93671406,1,0,0,0,"Adams, Indiana, US"
Mississippi,US,4/1/2020 21:58,31.47669768,-91.35326037,11,0,0,0,"Adams, Mississippi, US"
Nebraska,US,4/1/2020 21:58,40.5244942,-98.50117804,4,0,0,0,"Adams, Nebraska, US"
Pennsylvania,US,4/1/2020 21:58,39.87140411,-77.21610347,12,0,0,0,"Adams, Pennsylvania, US"
Washington,US,4/1/2020 21:58,46.98299757,-118.5601734,14,0,0,0,"Adams, Washington, US"
Vermont,US,4/1/2020 21:58,44.03217337,-73.14130877,24,0,0,0,"Addison, Vermont, US"
South Carolina,US,4/1/2020 21:58,33.54338026,-81.63645384,18,1,0,0,"Aiken, South Carolina, US"
Florida,US,4/1/2020 21:58,29.67866525,-82.35928158,90,0,0,0,"Alachua, Florida, US"
North Carolina,US,4/1/2020 21:58,36.0434701,-79.39976137,7,0,0,0,"Alamance, North Carolina, US"
California,US,4/1/2020 21:58,37.64629437,-121.8929271,313,7,0,0,"Alameda, California, US"
Colorado,US,4/1/2020 21:58,37.57250606,-105.7885451,1,0,0,0,"Alamosa, Colorado, US"
New York,US,4/1/2020 21:58,42.60060306,-73.97723916,240,1,0,0,"Albany, New York, US"
Wyoming,US,4/1/2020 21:58,41.65498705,-105.7235415,3,0,0,0,"Albany, Wyoming, US"
Virginia,US,4/1/2020 21:58,38.02080697,-78.55481085,21,0,0,0,"Albemarle, Virginia, US"
Mississippi,US,4/1/2020 21:58,34.88084463,-88.57996173,3,0,0,0,"Alcorn, Mississippi, US"
North Carolina,US,4/1/2020 21:58,35.9223796,-81.17751948,2,0,0,0,"Alexander, North Carolina, US"
Virginia,US,4/1/2020 21:58,38.814003,-77.08183073,32,0,0,0,"Alexandria, Virginia, US"
Iowa,US,4/1/2020 21:58,43.28383218,-91.37860922,7,1,0,0,"Allamakee, Iowa, US"
Michigan,US,4/1/2020 21:58,42.59147037,-85.89102866,5,0,0,0,"Allegan, Michigan, US"
New York,US,4/1/2020 21:58,42.25748406,-78.02750466,10,1,0,0,"Allegany, New York, US"
North Carolina,US,4/1/2020 21:58,36.49360862,-81.12857041,2,0,0,0,"Alleghany, North Carolina, US"
Virginia,US,4/1/2020 21:58,37.78636074,-80.00222498,1,0,0,0,"Alleghany, Virginia, US"
Pennsylvania,US,4/1/2020 21:58,40.46809875,-79.98167747,356,2,0,0,"Allegheny, Pennsylvania, US"
Indiana,US,4/1/2020 21:58,41.09194313,-85.06800636,39,2,0,0,"Allen, Indiana, US"
Kentucky,US,4/1/2020 21:58,36.75197631,-86.19457544,2,0,0,0,"Allen, Kentucky, US"
Louisiana,US,4/1/2020 21:58,30.65385745,-92.82442028,19,0,0,0,"Allen, Louisiana, US"
Ohio,US,4/1/2020 21:58,40.77285242,-84.10802343,6,0,0,0,"Allen, Ohio, US"
South Carolina,US,4/1/2020 21:58,32.98837386,-81.35321066,1,0,0,0,"Allendale, South Carolina, US"
California,US,4/1/2020 21:58,38.59678594,-119.8223594,1,0,0,0,"Alpine, California, US"
California,US,4/1/2020 21:58,38.44583082,-120.65696,2,0,0,0,"Amador, California, US"
Virginia,US,4/1/2020 21:58,37.34081025,-77.98584649,2,0,0,0,"Amelia, Virginia, US"
Virginia,US,4/1/2020 21:58,37.60308293,-79.14548696,5,0,0,0,"Amherst, Virginia, US"
Mississippi,US,4/1/2020 21:58,31.17467303,-90.80501621,4,1,0,0,"Amite, Mississippi, US"
Alaska,US,4/1/2020 21:58,61.14998174,-149.1426986,65,1,0,0,"Anchorage,Alaska,US"
Kentucky,US,4/1/2020 21:58,38.00671029,-84.99171713,2,1,0,0,"Anderson, Kentucky, US"
South Carolina,US,4/1/2020 21:58,34.51828081,-82.63959517,47,2,0,0,"Anderson, South Carolina, US"
Tennessee,US,4/1/2020 21:58,36.12684348,-84.19965764,10,0,0,0,"Anderson, Tennessee, US"
Texas,US,4/1/2020 21:58,31.81534745,-95.65354823,1,0,0,0,"Anderson, Texas, US"
