Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
1/22/2020,Afghanistan,,0,0,0
1/23/2020,Afghanistan,,0,0,0
1/24/2020,Afghanistan,,0,0,0
1/25/2020,Afghanistan,,0,0,0
1/26/2020,Afghanistan,,0,0,0
1/27/2020,Afghanistan,,0,0,0
1/28/2020,Afghanistan,,0,0,0
1/29/2020,Afghanistan,,0,0,0
1/30/2020,Afghanistan,,0,0,0
1/31/2020,Afghanistan,,0,0,0
2/1/2020,Afghanistan,,0,0,0
2/2/2020,Afghanistan,,0,0,0
2/3/2020,Afghanistan,,0,0,0
2/4/2020,Afghanistan,,0,0,0
2/5/2020,Afghanistan,,0,0,0
2/6/2020,Afghanistan,,0,0,0
2/7/2020,Afghanistan,,0,0,0
2/8/2020,Afghanistan,,0,0,0
2/9/2020,Afghanistan,,0,0,0
2/10/2020,Afghanistan,,0,0,0
2/11/2020,Afghanistan,,0,0,0
2/12/2020,Afghanistan,,0,0,0
2/13/2020,Afghanistan,,0,0,0
2/14/2020,Afghanistan,,0,0,0
2/15/2020,Afghanistan,,0,0,0
2/16/2020,Afghanistan,,0,0,0
2/17/2020,Afghanistan,,0,0,0
2/18/2020,Afghanistan,,0,0,0
2/19/2020,Afghanistan,,0,0,0
2/20/2020,Afghanistan,,0,0,0
2/21/2020,Afghanistan,,0,0,0
2/22/2020,Afghanistan,,0,0,0
2/23/2020,Afghanistan,,0,0,0
2/24/2020,Afghanistan,,1,0,0
2/25/2020,Afghanistan,,1,0,0
2/26/2020,Afghanistan,,1,0,0
2/27/2020,Afghanistan,,1,0,0
2/28/2020,Afghanistan,,1,0,0
2/29/2020,Afghanistan,,1,0,0
3/1/2020,Afghanistan,,1,0,0
3/2/2020,Afghanistan,,1,0,0
3/3/2020,Afghanistan,,1,0,0
3/4/2020,Afghanistan,,1,0,0
3/5/2020,Afghanistan,,1,0,0
3/6/2020,Afghanistan,,1,0,0
3/7/2020,Afghanistan,,1,0,0
3/8/2020,Afghanistan,,4,0,0
3/9/2020,Afghanistan,,4,0,0
3/10/2020,Afghanistan,,5,0,0
3/11/2020,Afghanistan,,7,0,0
3/12/2020,Afghanistan,,7,0,0
3/13/2020,Afghanistan,,7,0,0
3/14/2020,Afghanistan,,11,0,0
3/15/2020,Afghanistan,,16,0,0
3/16/2020,Afghanistan,,21,1,0
3/17/2020,Afghanistan,,22,1,0
3/18/2020,Afghanistan,,22,1,0
3/19/2020,Afghanistan,,22,1,0
3/20/2020,Afghanistan,,24,1,0
3/21/2020,Afghanistan,,24,1,0
3/22/2020,Afghanistan,,40,1,1
3/23/2020,Afghanistan,,40,1,1
3/24/2020,Afghanistan,,74,1,1
3/25/2020,Afghanistan,,84,2,2
3/26/2020,Afghanistan,,94,2,4
3/27/2020,Afghanistan,,110,2,4
3/28/2020,Afghanistan,,110,2,4
3/29/2020,Afghanistan,,120,2,4
3/30/2020,Afghanistan,,170,2,4
3/31/2020,Afghanistan,,174,5,4
4/1/2020,Afghanistan,,237,5,4
1/22/2020,Albania,,0,0,0
1/23/2020,Albania,,0,0,0
1/24/2020,Albania,,0,0,0
1/25/2020,Albania,,0,0,0
1/26/2020,Albania,,0,0,0
1/27/2020,Albania,,0,0,0
1/28/2020,Albania,,0,0,0
1/29/2020,Albania,,0,0,0
1/30/2020,Albania,,0,0,0
1/31/2020,Albania,,0,0,0
2/1/2020,Albania,,0,0,0
2/2/2020,Albania,,0,0,0
2/3/2020,Albania,,0,0,0
2/4/2020,Albania,,0,0,0
2/5/2020,Albania,,0,0,0
2/6/2020,Albania,,0,0,0
2/7/2020,Albania,,0,0,0
2/8/2020,Albania,,0,0,0
2/9/2020,Albania,,0,0,0
2/10/2020,Albania,,0,0,0
2/11/2020,Albania,,0,0,0
2/12/2020,Albania,,0,0,0
2/13/2020,Albania,,0,0,0
2/14/2020,Albania,,0,0,0
2/15/2020,Albania,,0,0,0
2/16/2020,Albania,,0,0,0
2/17/2020,Albania,,0,0,0
2/18/2020,Albania,,0,0,0
2/19/2020,Albania,,0,0,0
2/20/2020,Albania,,0,0,0
2/21/2020,Albania,,0,0,0
2/22/2020,Albania,,0,0,0
2/23/2020,Albania,,0,0,0
2/24/2020,Albania,,0,0,0
2/25/2020,Albania,,0,0,0
2/26/2020,Albania,,0,0,0
2/27/2020,Albania,,0,0,0
2/28/2020,Albania,,0,0,0
2/29/2020,Albania,,0,0,0
3/1/2020,Albania,,0,0,0
3/2/2020,Albania,,0,0,0
3/3/2020,Albania,,0,0,0
3/4/2020,Albania,,0,0,0
3/5/2020,Albania,,0,0,0
3/6/2020,Albania,,0,0,0
3/7/2020,Albania,,0,0,0
3/8/2020,Albania,,0,0,0
3/9/2020,Albania,,2,0,0
3/10/2020,Albania,,10,0,0
3/11/2020,Albania,,12,0,1
3/12/2020,Albania,,23,0,1
3/13/2020,Albania,,33,0,1
3/14/2020,Albania,,38,0,1
3/15/2020,Albania,,42,0,1
3/16/2020,Albania,,51,0,1
3/17/2020,Albania,,55,0,1
3/18/2020,Albania,,59,0,2
3/19/2020,Albania,,64,0,2
3/20/2020,Albania,,70,0,2
3/21/2020,Albania,,76,2,2
3/22/2020,Albania,,89,2,2
3/23/2020,Albania,,104,2,4
3/24/2020,Albania,,123,10,5
3/25/2020,Albania,,146,17,5
3/26/2020,Albania,,174,17,6
3/27/2020,Albania,,186,31,8
3/28/2020,Albania,,197,31,10
3/29/2020,Albania,,212,33,10
3/30/2020,Albania,,223,44,11
3/31/2020,Albania,,243,52,15
4/1/2020,Albania,,259,67,15
1/22/2020,Algeria,,0,0,0
1/23/2020,Algeria,,0,0,0
1/24/2020,Algeria,,0,0,0
1/25/2020,Algeria,,0,0,0
1/26/2020,Algeria,,0,0,0
1/27/2020,Algeria,,0,0,0
1/28/2020,Algeria,,0,0,0
1/29/2020,Algeria,,0,0,0
1/30/2020,Algeria,,0,0,0
1/31/2020,Algeria,,0,0,0
2/1/2020,Algeria,,0,0,0
2/2/2020,Algeria,,0,0,0
2/3/2020,Algeria,,0,0,0
2/4/2020,Algeria,,0,0,0
2/5/2020,Algeria,,0,0,0
2/6/2020,Algeria,,0,0,0
2/7/2020,Algeria,,0,0,0
2/8/2020,Algeria,,0,0,0
2/9/2020,Algeria,,0,0,0
2/10/2020,Algeria,,0,0,0
2/11/2020,Algeria,,0,0,0
2/12/2020,Algeria,,0,0,0
2/13/2020,Algeria,,0,0,0
2/14/2020,Algeria,,0,0,0
2/15/2020,Algeria,,0,0,0
2/16/2020,Algeria,,0,0,0
2/17/2020,Algeria,,0,0,0
2/18/2020,Algeria,,0,0,0
2/19/2020,Algeria,,0,0,0
2/20/2020,Algeria,,0,0,0
2/21/2020,Algeria,,0,0,0
2/22/2020,Algeria,,0,0,0
2/23/2020,Algeria,,0,0,0
2/24/2020,Algeria,,0,0,0
2/25/2020,Algeria,,1,0,0
2/26/2020,Algeria,,1,0,0
2/27/2020,Algeria,,1,0,0
2/28/2020,Algeria,,1,0,0
2/29/2020,Algeria,,1,0,0
3/1/2020,Algeria,,1,0,0
3/2/2020,Algeria,,3,0,0
3/3/2020,Algeria,,5,0,0
3/4/2020,Algeria,,12,0,0
3/5/2020,Algeria,,12,0,0
3/6/2020,Algeria,,17,0,0
3/7/2020,Algeria,,17,0,0
3/8/2020,Algeria,,19,0,0
3/9/2020,Algeria,,20,0,0
3/10/2020,Algeria,,20,0,0
3/11/2020,Algeria,,20,0,0
3/12/2020,Algeria,,24,8,1
3/13/2020,Algeria,,26,8,2
3/14/2020,Algeria,,37,12,3
3/15/2020,Algeria,,48,12,4
3/16/2020,Algeria,,54,12,4
3/17/2020,Algeria,,60,12,4
3/18/2020,Algeria,,74,12,7
3/19/2020,Algeria,,87,32,9
3/20/2020,Algeria,,90,32,11
3/21/2020,Algeria,,139,32,15
3/22/2020,Algeria,,201,65,17
3/23/2020,Algeria,,230,65,17
3/24/2020,Algeria,,264,24,19
3/25/2020,Algeria,,302,65,21
3/26/2020,Algeria,,367,29,25
3/27/2020,Algeria,,409,29,26
3/28/2020,Algeria,,454,31,29
3/29/2020,Algeria,,511,31,31
3/30/2020,Algeria,,584,37,35
3/31/2020,Algeria,,716,46,44
4/1/2020,Algeria,,847,61,58
1/22/2020,Andorra,,0,0,0
1/23/2020,Andorra,,0,0,0
1/24/2020,Andorra,,0,0,0
1/25/2020,Andorra,,0,0,0
1/26/2020,Andorra,,0,0,0
1/27/2020,Andorra,,0,0,0
1/28/2020,Andorra,,0,0,0
1/29/2020,Andorra,,0,0,0
1/30/2020,Andorra,,0,0,0
1/31/2020,Andorra,,0,0,0
2/1/2020,Andorra,,0,0,0
2/2/2020,Andorra,,0,0,0
2/3/2020,Andorra,,0,0,0
2/4/2020,Andorra,,0,0,0
2/5/2020,Andorra,,0,0,0
2/6/2020,Andorra,,0,0,0
2/7/2020,Andorra,,0,0,0
2/8/2020,Andorra,,0,0,0
2/9/2020,Andorra,,0,0,0
2/10/2020,Andorra,,0,0,0
2/11/2020,Andorra,,0,0,0
2/12/2020,Andorra,,0,0,0
2/13/2020,Andorra,,0,0,0
2/14/2020,Andorra,,0,0,0
2/15/2020,Andorra,,0,0,0
2/16/2020,Andorra,,0,0,0
2/17/2020,Andorra,,0,0,0
2/18/2020,Andorra,,0,0,0
2/19/2020,Andorra,,0,0,0
2/20/2020,Andorra,,0,0,0
2/21/2020,Andorra,,0,0,0
2/22/2020,Andorra,,0,0,0
2/23/2020,Andorra,,0,0,0
2/24/2020,Andorra,,0,0,0
2/25/2020,Andorra,,0,0,0
2/26/2020,Andorra,,0,0,0
2/27/2020,Andorra,,0,0,0
2/28/2020,Andorra,,0,0,0
2/29/2020,Andorra,,0,0,0
3/1/2020,Andorra,,0,0,0
3/2/2020,Andorra,,1,0,0
3/3/2020,Andorra,,1,0,0
3/4/2020,Andorra,,1,0,0
3/5/2020,Andorra,,1,0,0
3/6/2020,Andorra,,1,0,0
3/7/2020,Andorra,,1,0,0
3/8/2020,Andorra,,1,0,0
3/9/2020,Andorra,,1,0,0
3/10/2020,Andorra,,1,0,0
3/11/2020,Andorra,,1,0,0
3/12/2020,Andorra,,1,1,0
3/13/2020,Andorra,,1,0,0
3/14/2020,Andorra,,1,1,0
3/15/2020,Andorra,,1,1,0
3/16/2020,Andorra,,2,1,0
3/17/2020,Andorra,,39,1,0
3/18/2020,Andorra,,39,1,0
3/19/2020,Andorra,,53,1,0
3/20/2020,Andorra,,75,1,0
3/21/2020,Andorra,,88,1,0
3/22/2020,Andorra,,113,1,1
3/23/2020,Andorra,,133,1,1
3/24/2020,Andorra,,164,1,1
3/25/2020,Andorra,,188,1,1
3/26/2020,Andorra,,224,1,3
3/27/2020,Andorra,,267,1,3
3/28/2020,Andorra,,308,1,3
3/29/2020,Andorra,,334,1,6
3/30/2020,Andorra,,370,10,8
