Date,Country,Confirmed
1/22/2020,Afghanistan,0
1/23/2020,Afghanistan,0
1/24/2020,Afghanistan,0
1/25/2020,Afghanistan,0
1/26/2020,Afghanistan,0
1/27/2020,Afghanistan,0
1/28/2020,Afghanistan,0
1/29/2020,Afghanistan,0
1/30/2020,Afghanistan,0
1/31/2020,Afghanistan,0
2/1/2020,Afghanistan,0
2/10/2020,Afghanistan,0
2/11/2020,Afghanistan,0
2/12/2020,Afghanistan,0
2/13/2020,Afghanistan,0
2/14/2020,Afghanistan,0
2/15/2020,Afghanistan,0
2/16/2020,Afghanistan,0
2/17/2020,Afghanistan,0
2/18/2020,Afghanistan,0
2/19/2020,Afghanistan,0
2/2/2020,Afghanistan,0
2/20/2020,Afghanistan,0
2/21/2020,Afghanistan,0
2/22/2020,Afghanistan,0
2/23/2020,Afghanistan,0
2/24/2020,Afghanistan,1
2/25/2020,Afghanistan,1
2/26/2020,Afghanistan,1
2/27/2020,Afghanistan,1
2/28/2020,Afghanistan,1
2/29/2020,Afghanistan,1
2/3/2020,Afghanistan,0
2/4/2020,Afghanistan,0
2/5/2020,Afghanistan,0
2/6/2020,Afghanistan,0
2/7/2020,Afghanistan,0
2/8/2020,Afghanistan,0
2/9/2020,Afghanistan,0
3/1/2020,Afghanistan,1
3/10/2020,Afghanistan,5
3/11/2020,Afghanistan,7
3/12/2020,Afghanistan,7
3/13/2020,Afghanistan,7
3/14/2020,Afghanistan,11
3/15/2020,Afghanistan,16
3/16/2020,Afghanistan,21
3/17/2020,Afghanistan,22
3/18/2020,Afghanistan,22
3/19/2020,Afghanistan,22
3/2/2020,Afghanistan,1
3/20/2020,Afghanistan,24
3/21/2020,Afghanistan,24
3/22/2020,Afghanistan,40
3/23/2020,Afghanistan,40
3/24/2020,Afghanistan,74
3/25/2020,Afghanistan,84
3/26/2020,Afghanistan,94
3/27/2020,Afghanistan,110
3/28/2020,Afghanistan,110
3/29/2020,Afghanistan,120
3/3/2020,Afghanistan,1
3/30/2020,Afghanistan,170
3/31/2020,Afghanistan,174
3/4/2020,Afghanistan,1
3/5/2020,Afghanistan,1
3/6/2020,Afghanistan,1
3/7/2020,Afghanistan,1
3/8/2020,Afghanistan,4
3/9/2020,Afghanistan,4
4/1/2020,Afghanistan,237
1/22/2020,Albania,0
1/23/2020,Albania,0
1/24/2020,Albania,0
1/25/2020,Albania,0
1/26/2020,Albania,0
1/27/2020,Albania,0
1/28/2020,Albania,0
1/29/2020,Albania,0
1/30/2020,Albania,0
1/31/2020,Albania,0
2/1/2020,Albania,0
2/10/2020,Albania,0
2/11/2020,Albania,0
2/12/2020,Albania,0
2/13/2020,Albania,0
2/14/2020,Albania,0
2/15/2020,Albania,0
2/16/2020,Albania,0
2/17/2020,Albania,0
2/18/2020,Albania,0
2/19/2020,Albania,0
2/2/2020,Albania,0
2/20/2020,Albania,0
2/21/2020,Albania,0
2/22/2020,Albania,0
2/23/2020,Albania,0
2/24/2020,Albania,0
2/25/2020,Albania,0
2/26/2020,Albania,0
2/27/2020,Albania,0
2/28/2020,Albania,0
2/29/2020,Albania,0
2/3/2020,Albania,0
2/4/2020,Albania,0
2/5/2020,Albania,0
2/6/2020,Albania,0
2/7/2020,Albania,0
2/8/2020,Albania,0
2/9/2020,Albania,0
3/1/2020,Albania,0
3/10/2020,Albania,10
3/11/2020,Albania,12
3/12/2020,Albania,23
3/13/2020,Albania,33
3/14/2020,Albania,38
3/15/2020,Albania,42
3/16/2020,Albania,51
3/17/2020,Albania,55
3/18/2020,Albania,59
3/19/2020,Albania,64
3/2/2020,Albania,0
3/20/2020,Albania,70
3/21/2020,Albania,76
3/22/2020,Albania,89
3/23/2020,Albania,104
3/24/2020,Albania,123
3/25/2020,Albania,146
3/26/2020,Albania,174
3/27/2020,Albania,186
3/28/2020,Albania,197
3/29/2020,Albania,212
3/3/2020,Albania,0
3/30/2020,Albania,223
3/31/2020,Albania,243
3/4/2020,Albania,0
3/5/2020,Albania,0
3/6/2020,Albania,0
3/7/2020,Albania,0
3/8/2020,Albania,0
3/9/2020,Albania,2
4/1/2020,Albania,259
1/22/2020,Algeria,0
1/23/2020,Algeria,0
1/24/2020,Algeria,0
1/25/2020,Algeria,0
1/26/2020,Algeria,0
1/27/2020,Algeria,0
1/28/2020,Algeria,0
1/29/2020,Algeria,0
1/30/2020,Algeria,0
1/31/2020,Algeria,0
2/1/2020,Algeria,0
2/10/2020,Algeria,0
2/11/2020,Algeria,0
2/12/2020,Algeria,0
2/13/2020,Algeria,0
2/14/2020,Algeria,0
2/15/2020,Algeria,0
2/16/2020,Algeria,0
2/17/2020,Algeria,0
2/18/2020,Algeria,0
2/19/2020,Algeria,0
2/2/2020,Algeria,0
2/20/2020,Algeria,0
2/21/2020,Algeria,0
2/22/2020,Algeria,0
2/23/2020,Algeria,0
2/24/2020,Algeria,0
2/25/2020,Algeria,1
2/26/2020,Algeria,1
2/27/2020,Algeria,1
2/28/2020,Algeria,1
2/29/2020,Algeria,1
2/3/2020,Algeria,0
2/4/2020,Algeria,0
2/5/2020,Algeria,0
2/6/2020,Algeria,0
2/7/2020,Algeria,0
2/8/2020,Algeria,0
2/9/2020,Algeria,0
3/1/2020,Algeria,1
3/10/2020,Algeria,20
3/11/2020,Algeria,20
3/12/2020,Algeria,24
3/13/2020,Algeria,26
3/14/2020,Algeria,37
3/15/2020,Algeria,48
3/16/2020,Algeria,54
3/17/2020,Algeria,60
3/18/2020,Algeria,74
3/19/2020,Algeria,87
3/2/2020,Algeria,3
3/20/2020,Algeria,90
3/21/2020,Algeria,139
3/22/2020,Algeria,201
3/23/2020,Algeria,230
3/24/2020,Algeria,264
3/25/2020,Algeria,302
3/26/2020,Algeria,367
3/27/2020,Algeria,409
3/28/2020,Algeria,454
3/29/2020,Algeria,511
3/3/2020,Algeria,5
3/30/2020,Algeria,584
3/31/2020,Algeria,716
3/4/2020,Algeria,12
3/5/2020,Algeria,12
3/6/2020,Algeria,17
3/7/2020,Algeria,17
3/8/2020,Algeria,19
3/9/2020,Algeria,20
4/1/2020,Algeria,847
1/22/2020,Andorra,0
1/23/2020,Andorra,0
1/24/2020,Andorra,0
1/25/2020,Andorra,0
1/26/2020,Andorra,0
1/27/2020,Andorra,0
1/28/2020,Andorra,0
1/29/2020,Andorra,0
1/30/2020,Andorra,0
1/31/2020,Andorra,0
2/1/2020,Andorra,0
2/10/2020,Andorra,0
2/11/2020,Andorra,0
2/12/2020,Andorra,0
2/13/2020,Andorra,0
2/14/2020,Andorra,0
2/15/2020,Andorra,0
2/16/2020,Andorra,0
2/17/2020,Andorra,0
2/18/2020,Andorra,0
2/19/2020,Andorra,0
2/2/2020,Andorra,0
2/20/2020,Andorra,0
2/21/2020,Andorra,0
2/22/2020,Andorra,0
2/23/2020,Andorra,0
2/24/2020,Andorra,0
2/25/2020,Andorra,0
2/26/2020,Andorra,0
2/27/2020,Andorra,0
2/28/2020,Andorra,0
2/29/2020,Andorra,0
2/3/2020,Andorra,0
2/4/2020,Andorra,0
2/5/2020,Andorra,0
2/6/2020,Andorra,0
2/7/2020,Andorra,0
2/8/2020,Andorra,0
2/9/2020,Andorra,0
3/1/2020,Andorra,0
3/10/2020,Andorra,1
3/11/2020,Andorra,1
3/12/2020,Andorra,1
3/13/2020,Andorra,1
3/14/2020,Andorra,1
3/15/2020,Andorra,1
3/16/2020,Andorra,2
3/17/2020,Andorra,39
3/18/2020,Andorra,39
3/19/2020,Andorra,53
3/2/2020,Andorra,1
3/20/2020,Andorra,75
3/21/2020,Andorra,88
