Date,Province/State,Country/Region,Confirmed
1/22/20,,Afghanistan,0
1/23/20,,Afghanistan,0
1/24/20,,Afghanistan,0
1/25/20,,Afghanistan,0
1/26/20,,Afghanistan,0
1/27/20,,Afghanistan,0
1/28/20,,Afghanistan,0
1/29/20,,Afghanistan,0
1/30/20,,Afghanistan,0
1/31/20,,Afghanistan,0
2/1/20,,Afghanistan,0
2/10/20,,Afghanistan,0
2/11/20,,Afghanistan,0
2/12/20,,Afghanistan,0
2/13/20,,Afghanistan,0
2/14/20,,Afghanistan,0
2/15/20,,Afghanistan,0
2/16/20,,Afghanistan,0
2/17/20,,Afghanistan,0
2/18/20,,Afghanistan,0
2/19/20,,Afghanistan,0
2/2/20,,Afghanistan,0
2/20/20,,Afghanistan,0
2/21/20,,Afghanistan,0
2/22/20,,Afghanistan,0
2/23/20,,Afghanistan,0
2/24/20,,Afghanistan,0
2/25/20,,Afghanistan,0
2/26/20,,Afghanistan,0
2/27/20,,Afghanistan,0
2/28/20,,Afghanistan,0
2/29/20,,Afghanistan,0
2/3/20,,Afghanistan,0
2/4/20,,Afghanistan,0
2/5/20,,Afghanistan,0
2/6/20,,Afghanistan,0
2/7/20,,Afghanistan,0
2/8/20,,Afghanistan,0
2/9/20,,Afghanistan,0
3/1/20,,Afghanistan,0
3/10/20,,Afghanistan,0
3/11/20,,Afghanistan,0
3/12/20,,Afghanistan,0
3/13/20,,Afghanistan,0
3/14/20,,Afghanistan,0
3/15/20,,Afghanistan,0
3/16/20,,Afghanistan,0
3/17/20,,Afghanistan,0
3/18/20,,Afghanistan,0
3/19/20,,Afghanistan,0
3/2/20,,Afghanistan,0
3/20/20,,Afghanistan,0
3/21/20,,Afghanistan,0
3/22/20,,Afghanistan,1
3/23/20,,Afghanistan,1
3/24/20,,Afghanistan,1
3/25/20,,Afghanistan,2
3/26/20,,Afghanistan,4
3/27/20,,Afghanistan,4
3/28/20,,Afghanistan,4
3/29/20,,Afghanistan,4
3/3/20,,Afghanistan,0
3/30/20,,Afghanistan,4
3/31/20,,Afghanistan,4
3/4/20,,Afghanistan,0
3/5/20,,Afghanistan,0
3/6/20,,Afghanistan,0
3/7/20,,Afghanistan,0
3/8/20,,Afghanistan,0
3/9/20,,Afghanistan,0
4/1/20,,Afghanistan,4
1/22/20,,Albania,0
1/23/20,,Albania,0
1/24/20,,Albania,0
1/25/20,,Albania,0
1/26/20,,Albania,0
1/27/20,,Albania,0
1/28/20,,Albania,0
1/29/20,,Albania,0
1/30/20,,Albania,0
1/31/20,,Albania,0
2/1/20,,Albania,0
2/10/20,,Albania,0
2/11/20,,Albania,0
2/12/20,,Albania,0
2/13/20,,Albania,0
2/14/20,,Albania,0
2/15/20,,Albania,0
2/16/20,,Albania,0
2/17/20,,Albania,0
2/18/20,,Albania,0
2/19/20,,Albania,0
2/2/20,,Albania,0
2/20/20,,Albania,0
2/21/20,,Albania,0
2/22/20,,Albania,0
2/23/20,,Albania,0
2/24/20,,Albania,0
2/25/20,,Albania,0
2/26/20,,Albania,0
2/27/20,,Albania,0
2/28/20,,Albania,0
2/29/20,,Albania,0
2/3/20,,Albania,0
2/4/20,,Albania,0
2/5/20,,Albania,0
2/6/20,,Albania,0
2/7/20,,Albania,0
2/8/20,,Albania,0
2/9/20,,Albania,0
3/1/20,,Albania,0
3/10/20,,Albania,0
3/11/20,,Albania,1
3/12/20,,Albania,1
3/13/20,,Albania,1
3/14/20,,Albania,1
3/15/20,,Albania,1
3/16/20,,Albania,1
3/17/20,,Albania,1
3/18/20,,Albania,2
3/19/20,,Albania,2
3/2/20,,Albania,0
3/20/20,,Albania,2
3/21/20,,Albania,2
3/22/20,,Albania,2
3/23/20,,Albania,4
3/24/20,,Albania,5
3/25/20,,Albania,5
3/26/20,,Albania,6
3/27/20,,Albania,8
3/28/20,,Albania,10
3/29/20,,Albania,10
3/3/20,,Albania,0
3/30/20,,Albania,11
3/31/20,,Albania,15
3/4/20,,Albania,0
3/5/20,,Albania,0
3/6/20,,Albania,0
3/7/20,,Albania,0
3/8/20,,Albania,0
3/9/20,,Albania,0
4/1/20,,Albania,15
1/22/20,,Algeria,0
1/23/20,,Algeria,0
1/24/20,,Algeria,0
1/25/20,,Algeria,0
1/26/20,,Algeria,0
1/27/20,,Algeria,0
1/28/20,,Algeria,0
1/29/20,,Algeria,0
1/30/20,,Algeria,0
1/31/20,,Algeria,0
2/1/20,,Algeria,0
2/10/20,,Algeria,0
2/11/20,,Algeria,0
2/12/20,,Algeria,0
2/13/20,,Algeria,0
2/14/20,,Algeria,0
2/15/20,,Algeria,0
2/16/20,,Algeria,0
2/17/20,,Algeria,0
2/18/20,,Algeria,0
2/19/20,,Algeria,0
2/2/20,,Algeria,0
2/20/20,,Algeria,0
2/21/20,,Algeria,0
2/22/20,,Algeria,0
2/23/20,,Algeria,0
2/24/20,,Algeria,0
2/25/20,,Algeria,0
2/26/20,,Algeria,0
2/27/20,,Algeria,0
2/28/20,,Algeria,0
2/29/20,,Algeria,0
2/3/20,,Algeria,0
2/4/20,,Algeria,0
2/5/20,,Algeria,0
2/6/20,,Algeria,0
2/7/20,,Algeria,0
2/8/20,,Algeria,0
2/9/20,,Algeria,0
3/1/20,,Algeria,0
3/10/20,,Algeria,0
3/11/20,,Algeria,0
3/12/20,,Algeria,1
3/13/20,,Algeria,2
3/14/20,,Algeria,3
3/15/20,,Algeria,4
3/16/20,,Algeria,4
3/17/20,,Algeria,4
3/18/20,,Algeria,7
3/19/20,,Algeria,9
3/2/20,,Algeria,0
3/20/20,,Algeria,11
3/21/20,,Algeria,15
3/22/20,,Algeria,17
3/23/20,,Algeria,17
3/24/20,,Algeria,19
3/25/20,,Algeria,21
3/26/20,,Algeria,25
3/27/20,,Algeria,26
3/28/20,,Algeria,29
3/29/20,,Algeria,31
3/3/20,,Algeria,0
3/30/20,,Algeria,35
3/31/20,,Algeria,44
3/4/20,,Algeria,0
3/5/20,,Algeria,0
3/6/20,,Algeria,0
3/7/20,,Algeria,0
3/8/20,,Algeria,0
3/9/20,,Algeria,0
4/1/20,,Algeria,58
